Lemma,Sentiment
zoological,2.0
zipping,2.0
zink,2.0
zeppelin,2.0
zeal,2.0
yolky,2.0
xylophone,2.0
wreath,2.0
worrisome,2.0
woodsman,2.0
wobbling,2.0
windless,2.0
wilk,2.0
whisker,2.0
whirling,2.0
whey,2.0
wheezy,2.0
wheelhouse,2.0
welsh,2.0
weekender,2.0
waver,2.0
watcher,2.0
wasp,2.0
warrantee,2.0
wallop,2.0
voracious,2.0
volant,2.0
visitation,2.0
virtue,2.0
villain,2.0
viciously,2.0
verbose,2.0
ventriloquist,2.0
veneer,2.0
vela,2.0
vaporize,2.0
vache,2.0
utopian,2.0
uterine,2.0
ut,2.0
urinator,2.0
unquestionably,2.0
unmedicated,2.0
unimpeachable,2.0
uniformed,2.0
undid,2.0
underwent,2.0
undamaged,2.0
unaged,2.0
udder,2.0
twosome,2.0
twisty,2.0
tween,2.0
turbot,2.0
tumbling,2.0
tumbleweed,2.0
trumpeter,2.0
trompe,2.0
trombone,2.0
triumphant,2.0
triumph,2.0
tripod,2.0
tricycle,2.0
trembling,2.0
treaty,2.0
traverser,2.0
trauma,2.0
transient,2.0
trailing,2.0
tragus,2.0
torchon,2.0
toothless,2.0
tongued,2.0
toiletry,2.0
toga,2.0
titanium,2.0
tiresome,2.0
tirade,2.0
timidly,2.0
tidal,2.0
tickey,2.0
tiara,2.0
thundering,2.0
thriller,2.0
thistly,2.0
thankless,2.0
thane,2.0
texturally,2.0
testicle,2.0
terrarium,2.0
termite,2.0
tepee,2.0
temporal,2.0
template,2.0
temperate,2.0
telescope,2.0
teetotaler,2.0
teaze,2.0
teaser,2.0
tearfully,2.0
teardrop,2.0
tavola,2.0
tattooist,2.0
tasse,2.0
tardiness,2.0
tarantula,2.0
tapestry,2.0
tantalize,2.0
tankless,2.0
tangling,2.0
tangentially,2.0
tailed,2.0
taffy,2.0
swine,2.0
swath,2.0
swa,2.0
surety,2.0
superiority,2.0
supercool,2.0
supercharged,2.0
sully,2.0
suicidally,2.0
succumb,2.0
suburbia,2.0
subscriber,2.0
sublimely,2.0
subdivision,2.0
subconscious,2.0
stump,2.0
stronghold,2.0
strengthening,2.0
streaky,2.0
strainer,2.0
storybook,2.0
storming,2.0
stogie,2.0
stinker,2.0
stilt,2.0
stigma,2.0
stiffness,2.0
sticked,2.0
stepsister,2.0
stell,2.0
steelworker,2.0
stature,2.0
starlit,2.0
squirm,2.0
spunky,2.0
sprinter,2.0
springlike,2.0
spreader,2.0
splashy,2.0
spinney,2.0
sphinx,2.0
spelt,2.0
specular,2.0
spall,2.0
souly,2.0
solemnly,2.0
softy,2.0
softening,2.0
snoring,2.0
snapdragon,2.0
sloe,2.0
slipper,2.0
slighty,2.0
sled,2.0
slating,2.0
slasher,2.0
slang,2.0
skyscraper,2.0
skittles,2.0
skirted,2.0
skippy,2.0
skinless,2.0
sitio,2.0
singularly,2.0
singly,2.0
simulator,2.0
simulation,2.0
signifier,2.0
sideway,2.0
shroud,2.0
showpiece,2.0
shill,2.0
shih,2.0
shifty,2.0
shifter,2.0
